modelo,n_imagenes,media,mediana,media_por_clase,diferencia_media_vs_sin_cbam,imagenes_con_mas_atencion_en_lesion
ResNet-34 (sin CBAM),1502,0.4642,0.4571,0.5157,,
ResNet-34 + CBAM,1502,0.4434,0.4373,0.4795,-0.0208,38.5%
