modelo,params_M,tamano_MB,accuracy,balanced_acc,macro_F1,F1_akiec,F1_bcc,F1_bkl,F1_df,F1_mel,F1_nv,F1_vasc
ResNet-34 (sin CBAM),21.29,85.3,0.725,0.7262,0.6376,0.5093,0.7391,0.5867,0.5957,0.4233,0.8362,0.7727
ResNet-34 + CBAM,21.33,85.47,0.7197,0.7459,0.6496,0.5691,0.7044,0.6383,0.566,0.4545,0.8241,0.7907
